"strap_number","term","estimate","std_error","statistic","p_value"
2857,"tmin",1.03439450327326,0.0161682290117564,63.9769824215824,2.11077257730217e-199
2857,"prcp",-0.00474348414989177,0.00230349692144902,-2.05925352264325,0.0401847523087927
2858,"(Intercept)",7.98896381683847,0.224902877737946,35.5218390142037,4.97194783401714e-120
2858,"tmin",1.01948084302845,0.0159979656082606,63.7256553734583,7.81507065004947e-199
2858,"prcp",-0.00189184294457349,0.0019316053000471,-0.979414865204271,0.328029119269021
2859,"(Intercept)",8.25541348175124,0.244359147600868,33.7839346830408,5.75280508661434e-114
2859,"tmin",1.00667561376284,0.0169734605520266,59.3088021548231,1.58702582603202e-188
2859,"prcp",-0.00326767982378514,0.00209157044319988,-1.56230923725712,0.119088912892746
2860,"(Intercept)",7.82463807018864,0.242017687108421,32.3308521938039,9.0282101767034e-109
2860,"tmin",1.03680847935301,0.0167349426094513,61.9547077960969,8.96711485397102e-195
2860,"prcp",-0.00238370195310031,0.00215351622821559,-1.10688831682288,0.269077202251111
2861,"(Intercept)",7.99511623122546,0.218102917563013,36.6575391129995,6.64002955746047e-124
2861,"tmin",1.02091769452836,0.0149348860960749,68.3579163550953,5.07914898772421e-209
2861,"prcp",-0.00771519445621877,0.00201259958911904,-3.83344729767926,0.000148979695741778
2862,"(Intercept)",8.06902699202887,0.203978159962098,39.5582889537205,1.72045040570548e-133
2862,"tmin",1.02760359596082,0.0157101395434545,65.4102144107917,1.31193842414161e-202
2862,"prcp",-0.00671265886604916,0.00173165488371301,-3.87644150643684,0.000125843904442762
2863,"(Intercept)",8.15529246966492,0.221896701594439,36.7526529735011,3.16827783303716e-124
2863,"tmin",1.00838748797743,0.0153650756164892,65.6285405387312,4.31187768106898e-203
2863,"prcp",-0.00359962675111498,0.00220904051197728,-1.62949784379147,0.104077492435081
2864,"(Intercept)",7.9888320699983,0.203234645432378,39.3084164021454,1.10723776393284e-132
2864,"tmin",1.0327548163057,0.0143397286246716,72.0205272594097,1.15042007013826e-216
2864,"prcp",-0.0102323434152195,0.00194458778857752,-5.2619601312546,2.44633543975811e-07
2865,"(Intercept)",7.73770840769044,0.209135512771952,36.9985389144688,4.70233147584945e-125
2865,"tmin",1.03376819336991,0.0147198985889874,70.2293013175592,5.71003820402594e-213
2865,"prcp",-0.00672082603697264,0.00214469518426501,-3.13369754652378,0.00186702640909361
2866,"(Intercept)",7.83538822269901,0.247052016569681,31.715540441618,1.55035190296128e-106
2866,"tmin",1.01320628720065,0.0166571609470301,60.8270695361984,3.87322727982857e-192
2866,"prcp",0.00168462767321442,0.00211705097266758,0.795742613174643,0.426703129292588
2867,"(Intercept)",8.32075612865473,0.240911072355282,34.5387036274687,1.27780194454577e-116
2867,"tmin",1.00384002549196,0.0165938240791367,60.4947973839307,2.35670334124494e-191
